Dialetto,Italiano
*a  briga,"appena,  a  stento  ;  al  più."
abusar,"abusare;  eccèdere,"
abusivo,"abusivo  ;  irregolare,"
abuso,"abuso,  mal  uso."
aca,"acca,  no  saverne  n' a.,  grianca  fa."
acanimcnt,accanimento  :  furore  ;  ostina¬
acasarse,"accasarsi,  unirsi  in  matrimonio."
a  cavalòz,"a  cavalcioni,  cavalcioni.  A Tar"
a.  c.,"accavalciare,  mettersi  a  cavalcione."
Portar  a.  c.,portare  a  cavalluccio.
acaza,"acacia,  volg.  cascia.  (. seleni .  robinia"
donde  accentatura.  Far  sentir  Fa.,ac¬
acertàr,"accertare,  assicurare  ;  porre  in"
"aqèsit  (terni,  scol.)",accessit  (latin.).
acetàr,"accettare,  accogliere  ;  consentire."
che  se  pòi  a.,accettàbile  ;  il  contrario  :
acetazión,accettazione  ne'  vari  sensi;
*ac;èto,"accoglienza,  ricevimento,"
a  (pachi,"acciacchi,  incòmodi,"
a c i d è n t,"accidente  nei  due  sensi  di  :  caso,"
Cosa  nata  per  a.,"caso,  avvenimento  for¬"
tùito.  Per  a.,"per  caso,  a  caso,  casual¬"
mente  ;  a  casaccio.  Vegli  ir  n'  a.,"svenire,"
acidin,"acidino,  acidetto."
àfido,"àcido,  acerbo  aspro  ;  acidità  eie."
acidòt,"acidetto,  acidino."
aijiecà,"acciecato,  allucinato;  appassionato,"
aciecar,"acciecare  (nel  fig.),  donde  accie-"
acogliènza,accoglienza;  ricevimento.  Far
a.,far  accoglienza  (sottinteso  buona  o
acoglienzona,"accoglienza  cordiale,  cor¬"
*acoglienzòta,"accoglienza  fredda,"
acòglier,"accogliere,  ospitare,"
acolar,"accollare,  addossare  ;  affibbiare,"
a  colo,a  mattonella  (a!  biliardo)
a  confrónt,"a,  in  paragone,  confronto;  a"
acónt,"acconto,"
a  cont,"a  conto,  in  conto,"
"a  contràt.  Dar,  far,  tór","dare,  lavorare,"
acordadór,accordatore
acordadura,accordatura
acordar,"accordare,  concedere,  consentire."
Acordarse,"convenire,  restar  d’  accordo,"
a  cordin.  Zugar,"fare,  giocare  alla  palla,"
acordo,"accordo,  concerto,  intesa,  anco"
(spec.  per  fine  non  buono).  D'  a.,d’  ac¬
a  cortèi,"per  ritto,  a,  per  coltello  (dei"
acòrzerse,"accorgersi,  avvedersi  ;  Sena’  a."
a  costo  de,a  costo  di.  A  c.  de  luti  i
costi,"che  che  ne  avvenga,  a  tutti  i  costi,"
acqua,acqua  ve'  vari  sensi  ;  pioggia  ;
natura  de  a.,acqueo.  Che  vive  en  te  l’a.
"a  soga,  a.  che  Dio  la  manda",pioggia
"tàbile.  A.  co  r  ose""",a.  acetata  ;  col  zù-
de  ròsa,acqua  rosa  ;  a.  </’  odor  acqua
"d’  odore,  odorosa.  A.  en  baca!",silenzio!
"zitti  !  baci  1,  a.  in  bocca  !  A.  en  ghia",a.
ghiacciata.  A.  engiuzada  en  aria,ne¬
vischio  ;  fresca,fresca.  A  fior  cT  a.  -
A  morta,"a.  stagnante,  morta;  fig.  simu¬"
piovana.  A.  salada,"salsa,  e  meno  sal¬"
mastra  ;  santa,"acqua  benedetta,  santa  ;"
dò  è  disegnò  te  acque  carente,carta  idro¬
"gràfica,  da  idrografia,  dopar  V  a.",esser
dell’  a.  Dar  a.,"annaffiare,  irrigare,  dar"
"fomentare,  dar  ansa.  Dar  V  a",battez¬
pes  /or  de  V  a.,"essere  straniato,  esser"
entree  a.,"essere  a  mal  partito,  esser"
star  tra  do  a.,non  saper  qual  partito
V  en  a.,"esser  molle,  grondante  di  su¬"
dore.  Far  en  bus  en  Va.,fare  un  ten¬
FU  iV  a.,filo  d’  acqua.  Laorar  sol'  a.  -
ipocritamente.  Le  acque,"acque  minerali,"
man,far  scarsissimi  guadagni  (spec.  per
lavarsi  le  mani.  No  torse  mai  V  a.,ncn
ciarlone.  Parer  a.,"parer  a.,  saper  d’  a."
nel  mortaio.  Portar  a.  al  mar,portar
"fare  un  pò  d’  a.,  spander  a.",Tirar  a.
al  so  moliti,fare  ogni  cosa  a  proprio
Tor  V  a.,levare  1’  a.  (ne/V  irrigazione 1
Trarse  a  qualche  a.,appigliarsi  a  qualche
V  acquolina  en  boca,"appetire  grandemente,"
IV  a.  smattis  i  cattai,l’a.  fa  marcire  i
quela  che  bagna,i  primi  travagli  più  af¬
acqua  de  Colonia,"a.  di  Colonia,"
acqua  forte,"àcido  nitrico,  acqua  forte,"
acqua  rasa,"essenza  di  trementina,  acqua"
acquaròl,"acquerello,  vinello,"
acquarci,"chi  vende  acqua,  chi  lavora"
acquaròla,acquaiòla  ( ciliegia  eie).
"""acquasantèl","piletta  ( presso  al  letto),  sec¬"
acquàz,"guazza,  rugiada  copiosa."
acqueta,"piccola  pioggia,  pioggerella,  ac-"
acquist,"acquisto,  compra,"
acquistar,"acquistare,  guadagnate,  percepire;"
stare)  A.  de  n'ov,"riacquistare,  riguada¬"
acquós,"acquoso,  acquidoso;  acqueo,"
"a  crepapanza,  a  crepapèl",smoderata-
"a  cucio,  a  cuzo  !",a  cuccia  !  ai  cani.
acudir,"accudire,  attendere."
acusa,"accusa,  addébito,  incolpazione;  de¬"
acusar,"accusare,  cosi  per  incolpare,  adde¬"
punti  o  nitro.  A.  ria  tetra,accusalo  il
acuso,accusata  (al  gioco).
acusón,grossa  acccusata  (al  gioco).
a  dama  (sugar),"giocare,  fare  a  dama,"
adasi,"adagio,  piano  ;  lentamente,  pesata¬"
adasiòt,"adagino,  piano  piano,"
adatamént,"adattamento,  assuefazione  ;"
adatar,"adattare,  accomodare,  appiopriare."
Adatarse,"adattarsi,  acconciarsi,  anco  di"
adato,"adatto,  idoneo,  acconcio,"
adebitar,"addebitare,  notare  a  débito."
Vedo  come  /’  A.,"antichissimo,  Vecchio"
et  sarà  a.  a.,"se  non  è  tosto,  sarò  quanto"
"prima.  Si,  a.","iron.  sì,  ora  (p.  e.  si,  ora"
adét,"addetto,  appartenente,  applicato,"
adì,"addi  {delie  scritture'',  a  di,  il  (tanto"
adlzionale,"addizionale,  giunta,  aggiunta,"
adobamént,"addobbo,  addobbamento,"
adobar,"addobbare,  adorarne,  parare,"
a  dolce  sono,"dolcemente,  pianamente"
Adolorata  /',"l' Addolorata,  la  Madonna"
adorar,"adorare,  cosi  per  rendere  onore  a"
adorazión,"adorazione  (rcltg.);  venerazione,"
adòs,"addòsso,  indòsso  ;  assai  vicino,  a  ri¬"
dòsso.  Dar  a.,"accusare,  dare  il  torto,"
dare  addosso.  Untar  a.,riversare  la  colpa
tere  addosso.  Saltar  a.,"assalire,  avven-"
"gatta),  saltare  addosso.  Star  a.",invigi¬
adotar,"adottare,  adozione,  anco  per  rice¬"
adotivo,"adottivo  (figlio  a  padre),"
"a  drìo  a  drlo,  a  drìo  drìo",senza  inter¬
a  drit  fil,in  filo  (del  cucilo).
adrìz,"indirizzo,  soprascritta,"
adular,"adulare,  lisciare,  leccare,"
adulazión,"adulazione,  piaggeria,"
advènt,"avvento,"
aelanto,v.  ailanto.
af,"ape,  pecchia  ;  il  maschio  fuco.  Et  re¬"
mar  che  fa  le  a.,"ronzare,  ronzio,  ron-"
zamento.  Bus  de  a.,"alveare,  arnia.  Quei"
che  arietta  le  a.,apicultore  con  apicultura
Desmisiar  le  a.  che  dorme,stuzzicare  il
afàbile,"affabile,  accostévole,  cortese,"
"afàn,  afano",affanno  ne’  vari  sensi:  àn¬
stórneg.,travaglio  di  stomaco.  Tòrse  a-
fani,"darsi  briga,  darsi,  prendersi  affanno  :"
afanarse,"affannarsi,  angustiarsi;  arrapinarsi"
afàr,"affare,  faccenda,  negozio,  impresa."
"A.  de  poche  carte,  da  gnènt",affare  ili  poco
a.  serio,"afl'ar  serio,  imbrogliato;  a.  de"
stato,affare  di  stato  (schcrz.  di  cosa  pic¬
A.  strachi  o  magri,affari  di  poco  gua¬
"-  gran  daffare,  affarìo.  L’è  ’n  bel  a.!",è
afaràz,"brutto  affare,  affaraccio."
afarét,"affaretto,  affarino,  faccendina,  V."
a  farla  granda,"al  più,  tutt’al  più,  il  mas¬"
afarón,"affare  assai  profittevole,  o  grasso"
afaròt,affaruccio;  faccenduccia.  A.  da  gnènt
Gnènt  a.,"niente  affatto,"
afetà,"non  naturale  nelle  maniere,  affetteto,"
afetazión,"affettazione;  ostentazione,"
afezión,"affezione,  affetto,  donde  affettuoso,"
affettuosamente.  Prèso  d'a.,prezzo  d’af¬
afezionarse,"affezionarsi,  prendere  affezione;"
*a  fil,"appena  appena;  precisamente,"
afiizión,"afflizione,  rammàrico;  umiliazióne."
a  forza,"a  forza  di,  per  mezzo,  col  mezzo."
*a  fraso,"a  puntino,  esattamente,  precisa-"
"africàn,  africano","sorta  di  pasta,  africana,"
a  fronte  che,"quantunque,  sebbene,  an¬"
afta,afta.
afrónt,"affronto,  offesa,  insulto,"
a  gambe,"fuggire,  scappare,  darla  a  gambe."
A  gambe  /evade,"a  gambe  levate,  a  gambe"
agènte,"agente  (di  casa,  d’affari),  fattore"
(di  campagna).  A.  de  botèga,"commesso,"
agenzìa,"agenzia;  amministrazione,"
agevoleza,"agevolezza,  facilitazione.  Far"
*a  giara,"in  grau  quantità,  a  iosa,  a  staia,"
agio,aggio.
*a  giòm,"a  gomitolo;  aggomitolato,"
agir,"agire,  operare,  adoperarsi,"
agita,"agitato,  commosso,  turbato,"
agitazión,"agitazione,  inquietudine,  turba¬"
agiudicare,"assegnare  con  sentenza,  ag¬"
agiunto,"aggiunto  (impiegato),  assessore,"
agnèl,"agnello,  femm.  agnello;  anche  per"
annòtino.  La  vo(c  de  Va.,"belare,  belalo,"
*agnèla,"ubriachezza,  sbornia,"
agnelin,"agnellino,  agnelletto;  pacifico,"
de  Va.,"belare,  belato,  vagire,  vagito,"
agnusdèl,"agnusdei;  breve,  brevino."
*agogia,aquila  anatrata  ;  anche  per  aquila
"*  ùgola ,  agolàz,  agoléta","aquila,  più"
agón,"agone,  sardina  (cheppia  di  lago)."
agest,agosto.  Che  uose  o  è  nat  de  a.
-  agostino.  Madonna  d’a.,"l’ Assunzione,"
la  fa  ’l  mòti,d'agosto  l’uva  la  il  mosto.
*agóz,"avvoltoio,"
agradir,gradire  aggradire.
*agràm,"gramigna,  gramignone,  lira  X  a."
agramàn,agremà.
*agramar,terreno  gramignoso.
*agramustèl,gramigna  (bastarda);  gra-
*agrar,"smuovere,  sfruconare,"
agratis,"gratis,  gratuitamente,"
agravar,"aggi  avare,  donde  aggravato  (ma¬"
agravi,"aggravio,  peso,  danno;  ònere,  gra¬"
agreza,"agrezza,  fortore,  acidità."
agri,(antiq).  V.  coi.
agrìn,"agrigno;  acrèdine,  acidezza."
agro,"agro,  acre,  acèrbo.  A,  de  cedro,  de"
limón  etc.,agro  di  cedro  eie.  (donde  il
Deventar  a.,"inagrire,  inacidire.  Stnf  a."
"ristucco,  li  è  agra","è  spiacévole,  doloroso,"
gnar  coi  denti  a.,"mangiar  contro  voglia,"
agrodólz,agrodolce
aguèl,"pungiglione,  ago,  pool,  acùleo  (delle"
aguzin,"sorvegliante  rigido,  aguzzino;"
ah  ah  !,all  ah  !
ahi  ahi!,ahi!  ahimè!
■*ai  (rust.  e  bombiti.),sì  (lai.  aio).
-  aglietto.  Costa  d’a.,spicchio;  dreza  -
resta  agli  o  cipolle).  Chi  vende  a.,agliaro.
Sito  piantò  de  a.,agliaio.
*aiada,"buca  del  focolare.  Smerdar,  spàn¬"
der  l’ a.,"palesare  il  segreto,  svesciare,"
*ai  ati,formula  dell’  autorità  che  re¬
*àida  alda,"aiuto,  assistenza  (antic.  e  poet."
*aidar,"aiutare,  dar  mano  assistere  (antic."
aiét,"aglietto,"
ailanto,ailanto.
*aiàempòner  (neol.  geriti.),lavoratore  in
aiùt,"aiuto,  soccorso;  sovvenzione,"
aiutante,aiutante  (spec.  militare);  aiuto
aiutar,"aiutare,  soccorrere,  sovvenire.  Aiu-"
tarse,"ingegnarsi,  industriarsi,  più  forte"
s’ aiuta  se  nega,chi  nou  s’  aiuta  s’  annega.
*àiza!,"terni,  de’  bifolchi,  indietro  1"
* aizar  (rust.),"indietreggiare,  rinculare  (de'"
aizare,"aizzare,  istigare,  eccitare."
ala,ala  ne’ vari  sensi.  Che  g’ha  ale  -
alato.  A.  delta  velada,(alda;  del  capii
"-  tesa;  del  figo,  del  palmati",ala;  de
corna.  Cascar  le  a.,"scoraggiarsi,  perdersi"
"larsi,  prender  il  volo.  Mò'ccr  le  a.",muover
a.,batter  Pali.  Spontar  le  a.  mettere  le
a  la  balorda,"balordamente,  da  balordo,"
a  la  barba  de,"a  dispetto,  alla  barba,  in"
alabarda,"alabarda,  donde  un  tempo  ala¬"
alabastro,"alabastro,  donde  alabastrino,"
a  la  bona,"semplicemente,  schiettamente,"
"a  la  bèla.  Vegnir,  nar","avvicinarsi,  acco¬"
a  la  carlona,"senza  cura,  alla  grossa,  alla"
a  la  cazadora,alla  cacciatora;  semplice¬
a  la  «jerca,"alla  cerca,  alla  questua,  que¬"
a  la  (jitadina,"a  maniera  di  cittadino,"
a  la  contadina,"a  modo  de’ contadini,  con¬"
"a  la  fé,  a  la  fé  benedéta","in  verità,  in"
"a  la  fin,  a  la  fin  de  i  fati","insomma,  fi¬"
"a  la  fin  de  le  fin,  o  dei  fini","finalmente,"
a  la  forsèt  o  fursèt,in  iorchetta  (colazione)
a  la  granda.  Farla,"far  il  grande,  gran-"
a  la  larga,"discosti,  alla  larga;  alla  lontana."
a  la  longa,"a  lungo  andare,  in  processo"
a  la  lontana,"in  lontananza,  da  lontano,"
alla  lontana.  Someiara  la  l.,"a  un  dipresso,"
alla  lontana.  Parlare  a  la  l.,fare  un
a  la  maladeta,"pessimamente,  abborrac-"
a  la  man,"sottomano;  arcessibile,  conver¬"
alamari,"alamari,"
a  la  mèza  (parlando  di  ore  ),"alla  mezza,"
a  la  minuda  £>  minuta,"a  minuto,  a  ri¬"
a  la  montagnara,secondo  l’uso  de’ mon¬
a  la  paesana,"alla  contadina,  alla  ville¬"
a  la  part,a  mezzo  guadagno  e  mezza
"perdita,","a  sùccio.  Dar,  l'or  bestie  a  la  p."
"-  dare,  pigliar  bestiame","a  sùccio  o  sùccubi,"
a  la  pèzo,"alla  peggio,  alla  peggio  peggio,"
a  la  pitica,"da  pitoco,  al  modo  degli"
"accattoni,  accattando.  Mar  a  la  p.",accat¬
a  la  pu  desperada,"alla  peggio,  al  peggio"
*a  la  rala,"alla  sorte,  alla  ventura,  alla"
"birha.  .Var,  viver  a  l.  r.","andar  vagando,"
Trar  a  la  r.,"fare  a  chi  piglia  piglia,"
a  la  renfuàa,"alla  rinfusa,  confusamente,"
a  la  revèrsa,"a  rovescio,  da  rovescio,  alla"
rovescia.  Far  a  la  r.,fare  le  cose  a  ro¬
a  la  rica,"da  ricco,  riccamente,  sontuosa¬"
alarmar,"mettere  in  patirà ,  allarmare,"
alarme,"apprensione,  allarme.  Falso  a.  -"
*a  la  sbaraia,"da  bandito,  da  malvivente,"
a  la  sordina,"celatamente,  di  soppiatto,"
a  la  sòrte,"alla  ventina  ;  a,  alla  sòrte,"
a  la  svelta,"con  prestezza,  prestamente,"
a  l’avèrt,"all’  aperto,  all’  aria  aperta,"
sull'  alba.  A.  dei  mosconi,alba  de’  mo¬
"sconi,  de’ tafani.  Oh’  è  l'a.","non  c’  è  nulla,"
albergatór,"albergatore,  locandiere,"
albèrgo,"albèrgo,  locanda,"
albezar,"spuntar  l’ alba,  albeggiare."
*albi,trògolo;  cl  magnar  che  se  iuta  ett
àlbis  (in),in  albis  ( aggiunto  alla  dome¬
albo,albo;  ruolo.
*al  bòt,al  rintocco  (della  campana).
àlbum,"libro  di  ricordi,  album,"
aleandro,oleandro.
aleàtico,aleatico  ( uva  e  vino).
a  le  corte,"in  conclusione,  a  farla  corta,"
alegato,"allegato,  con  allegare,  allegazione,"
alegreza,"allegrezza,  gioia,  giocondità,"
aiegri!,"allegri!,  su,  allegri!,  viva!"
alegrìa,allegria;  esultanza.  Gran  a.  -
alegro,"allegro,  gaio,  lieto,  giulivo;  al¬"
"ticcio,  brillo,  allegro.  En  pòc  a.",alle¬
"gaio,  vivace.  Star  aiegri.","esser  contenti,"
pòc  da  star  a.,"le  cose  non  vanno  bene,"
alegrón,"mattacchione,  capo  ameno,  gio-"
alena,"allenato,  invigorito,  esercitato,"
alenarne,"invigorirsi  coll'  esercizio,  alle¬"
a  le  tante!,"finalmente,  alla  perfine,  una"
aletar,"allettare,  adescare,  attirare,"
*a  leva  sol,"allo  spuntare,  al  levar  del"
*alfa,"boria,  albagia,  spocchia;  sicumèra,"
n‘  a.,"un  borioso,  vanaglorioso,  gonfia¬"
alfabeto,"alfabeto,  abbicci.  Chi  no  conose"
l’a.,"analfabeta,  illetterato."
♦algeri,"ieri,  ieridi.  No  èser  un  d‘  a.  -"
ali,"àlido  (della  terra,  del  tempo),  donde"
a  l' ingròs,"in  grosso,  all’  ingrosso  ;  alla"
almén,"alméno,  vo/g.  almanco;  se  non"
altro.  A.  a.,"almeno,  almeno,"
al  mòto,"a  quel  che  pare,  secondo  l’ap¬"
*alò,"avanti!,  su  via!"
alóco,"allocco,  barbagianni  ;  fig.  uomo  goffo"
vofe  de  F  a.,"chiurlare,"
àloè,àloè.
alòr,alloro.
alora,allora  uè'  vari  sensi:  in  quel  tempo  ;
a  l’ orba,"alla  cieca,  cioè  inconsiderata¬"
alòzo,"alloggio,  ricetto,  licòvero.  Dar  a.,"
dar  d’ a.,"alloggiare,  albergare,  ricettare,"
alpenstoc  (germ.),mazza  ferrata  da  al¬
alpinista,alpinista;  rampicatore.
alpino,alpino.
al  prinzìpi,"a  principio,  in  principio,  sulle"
alquànt  ( cornuti .  al  piar.),"alquanto,  al¬"
*alsèra,"ieri  sera,  iersera,  Xo  èser  de  quei"
d'  a.,"essere  in  là  con  gli  anni,  non  esser"
■*al  stròv,"al  buio,  all’oscuro.  P.  stròv."
alt,"alto  ne' vari  sensi:  elevato;  eccelso,"
eminente.  A  le  alte,"in  alto;  in  altura,"
"in  alto,  in  montagna.  A.  de  prèsi",alto
"( t rotar,  vardar)","dall’  alto  in  basso,  su¬"
prèsi,chieder  prezzo  altissimo;  porre  in
alt!,"alto!  fare  alto,  fermarsi,"
altaléna,altaléna  ( trave  o  tavola  in  bìlico).
(su  cui  sta  la  tovaglia  )  Parapèt,paliotto;
a.,"essere  un  bigotto,  un  pinzòchere,  con¬"
altèa,altèa.
alterar,"alterare,  contraffare,  falsificare,  a-"
dulterare.  Alterarse,"alterarsi,  inquietarsi,"
"vino,  brillo,  alliccio.  Pois  a.","polso  alterato,"
alterco,"alterco,  contesa,  diverbio,"
alteria,arteria.
alteza,altezza  ;  elevazione  ;  altitudine
(geogr.  e  astron.i  Sua  a.,Sua  Altezza.
*alto  là.  par,"far  lauto  convito,  banchet¬"
altòt,"alquanto  alto,  altetto."
altréri.  L’,"ier  l’altro,  ieri  l'altro  (il"
altretànt,"altrettanto,  anco  per  ricambio"
"altro  i, agg.)","altro  ne’ vari  sensi:  diverso,  dif¬"
"nente.  Altri  dèi,  trei  etc.","altri  due,  tre"
"etc.  D’altri  [casa,  roba,  etc.)","d’altri,"
"altrui.  L’ a.  di,  fa.  rne’s  etc.",pochi  giorni
mese.  Ogni  a.  dì  eie.,quasi  ogni  giorno
altri,"noialtri,  voialtri.  No!  beve,  noi  vèn"
etc.  a.,non  beve  etc.  più.  En  te  n’a.
sito,"iu  altro  luogo,  altrove.  En  te  n’a."
modo,"in  un  altro  modo,  altrimenti.  N’ari"
"co  l’ a.,  un  co  l’  a","in  media,"
altro  (sost.),"altra  cosa,  altro;  questo  anche  per"
peggio;  birbante  che  no  te  sei  a.,bir¬
è  far,"altro  è  dire,  altro  è  fare.  Diven¬"
tar  n'a.,"cambiarsi  del  tutto,  diventare"
un  altro.  No  iserghe  pu  a.,non  esserci
far  altro.  No  fus  a.,"non  foss’  altro,  se"
non  altro.  No  gh’ è  a.,non  c’è  altro
idtro.  Tal  a.,"al  contrario,  tutt’  altro."
Volerghe  a.,volerci  altri).  Altro!  V.
altro!  altroché!,si  certo!  altro!  altroché!
*a  1’  ùltim  biondo,"perfettamente,  all’  à-"
alùm,allume.
alunato,retta  d’  un  collegiale  pagata  da
a  lustrofìn,"verniciato,  lustrato,  tirato  a"
alveàr,apiario.
*al  vèrs,"ammodo,  in  punto,  appuntino  ;"
alzada,"alzata,  alzamento."
alzana,alzaia.
alzar,"alzare,  inalzare,  levare,  sollevare."
A.  de  grado,"alzar  di  grado,  promuòvere,"
donde  promozione.  A.  i  prèti,alzare  i
"prezzi,  rincarile.  A.  la  vofe","sgridare,  al¬"
zare  la  voce.  A.  le  carte,"alzare.  A,  en"
terni,"colmare,  rinterrale;  colmata,  rin¬"
debolezza),"non  poter  alzare  un  dito,  una"
àlzer,àrgine.
alzeta,"sessitura,  basta."
am,amo.
*a  maca,a  ufo.  a  spese  altrui.  Magnar
a  ni.,mangiare  a  ufo.  Comprar  a  ni.  -
a  mala  pena,"con  difficoltà,  a  fatica,  ap¬"
a  man,"a  mano,  con  le  mani.  A  in.  a  ni."
Rodar,"rubare  a  man  salva,  senza  pericolo,"
amansar,"placare,  rabbonire,  ammansire,"
amar,"amare  ne' vali,  sensi :  voler  bene;"
Medicina  d'erbe  a.,amaricante.  A.  come
’ltòseg,amaro  coni*  il  veleno.  Far  a.  -
amareza,"amarezza,  anco,  $pcc .  nel  pluf. ,"
amarette,"amareggiare,"
amarìn,"sapere  alquanto  amaro ,  amarino,"
amatista,ornatista.
a  maz,"affastellatamente,  alla  rinfusa,  a"
rifascio.  Metter  a  m .  con ...,tenere  in
ambi,"andatura  di  cavallo  etc.  ambio,"
ambi,"andatura,  infilata;  attitudine,  abilità,"
ambizión,ambizione;  amor  proprio;  va¬
ambizione  èia,"nmbizioncèlla,  Spreg .  am-"
ambiziós,ambizioso;  vanaglorioso;  pre*
ambizioset,"ambiziosetto,  ambiziosino."
ambo,"ambo,  s prtg.  ambuccio.  Che  a.!"
che  bel  a.!,un  bell’ambo!  (di  due  per¬
"*ambrosca,  ambròstega",sorta  di  vite.
a  meari,"a  migliaia,  a  mille  a  mille,  a"
♦àmeda  (rust.),zia  (lai.  àmita)
a  menade,"a  puntino,  a  menadito,"
a  merli,"smerlato,  a  merli."
*a  mesedón,"mescolatamente,  in  confu¬"
"sione,  alla  rinfusa.  Metter  a  in.",far  tutto
